reviewerID,graph_degree,graph_weighted_degree
AKC6SGNF2K5GB,10,31
A1CAY4J3AXLNY,8,28
ATFPY92TCF5DG,24,72
A1BHHYCGFSPFJD,1,3
AK51N2OCNGWG4,8,24
A2EV716LRUX4JX,4,12
A1IE9Y28DX6TWN,102,306
A1786LAQ18LHDC,874,2765
A1OUHXML50BP7K,800,2407
AX0E3UPGD9RCU,159,489
A1RZ4VH27NLDGS,1,3
A1NA7T75JQ6QBW,7,21
A1FAPTFNZRY7ZN,30,90
A2DVO77B8AS3PD,1755,7022
A385MPHBDT1PN1,4,14
ARMR7ERIBGFXU,39,120
A1IL0PS2XJB4NS,6,18
A2WTMGG87N77I2,7,21
A2KWS0YKEZXPFU,3,9
A2GLR2Q3M1PC7P,9,27
A22UUWEZDOFDIC,793,2382
A1G4I58D5IFIUO,1,3
A344DRNBI67RDR,794,2384
A3085444DY0HZX,2,6
A3G5BIFX6VS1OP,211,642
AEFWNF81SPQQ9,3,9
A3RNSNX05SJUXK,1,3
A1RX6YBP2A7PMB,1,3
A2ISDNUSCLB1ZL,47,141
AUWZBKOQ7PWWU,41,127
A3V14K81PDSJV4,1,3
A1NLKG9UYMCXRM,37,116
A129UKDJUW5VSZ,57,178
A2NTRRRGTLCNLJ,924,2788
A3536XSKF3H1P5,4,12
ALS4HISL3JOZ1,1,5
A1IIZFJ6YMKKZ7,24,72
A24BHK8SGOULMG,2,8
A3NK85H3CNIZ60,1755,7049
A2NP4ZL1ROZNG0,1,3
A3LWG3HC2N797Q,1,3
A1Y3VMAQCOCDTJ,6,18
A3DDP9K75T5J2Q,51,158
A3NEN8FB3DTTUY,1,3
AQELFWN5WZI0M,1,3
AKG3LIVG078SA,15,45
A27VO3III2JX4X,2,6
A1V1XYVN6XK1QC,2,6
A90CIOTD991AX,2,6
A1HLGWLMALVMD,1,3
A21GGQ4SCXREA1,86,258
A312AO42BOJAC,1755,7071
A1ZMGCDOIJHX65,35,113
A2X449RA8YXYIB,1755,7047
A3HJN7AGCAOSLN,1,3
A1LI5WAYKDB8WQ,83,319
AH2RIMWBQPFDZ,812,2448
AUMHC6475331C,9,28
A35RJ9LS5KU4F6,802,2418
A2MINNDMBOFW1K,2,6
A2B1OM6AN53PKQ,17,51
AFUPVXZ0BX3B4,2,6
A1WD8RFNIGRPDH,3,9
A2URA7LASJ0C7Y,1,3
ADEBIGOBC3XBA,6,19
A1YP96MT6W9FTB,1007,3209
AL4EUF2QG2SMO,1,3
A25XL8UZTEHF28,33,99
A340EP2V92ZJN4,1,3
AG1XBMP4T1GG3,24,72
A13RFXG1TMARWP,1,3
A1679K3KHL044,1807,7555
A2JSNBG0431TLK,2,6
A30H8ACW807Q2F,5,17
A1274QVFP1YDOS,1,3
A3MWTZW5DJ66FJ,4,12
A2E3D6W7MW0WX7,55,175
A25YV0U6DPMI,1,3
A39OL6AMT66V22,3,9
A53WH11OG8460,1755,7053
AJGU85XSP3W73,3,9
A35E2EJDL15959,1,3
A3M1IRV6QD7D0R,130,396
A2YTKPGZXFFKVK,56,169
A13K24WCGUS1T0,41,124
ASK39P2ML4Z8K,1,3
A1A2A13UPUH0NA,1,3
AP3B5LE2NMX6E,1,3
A3G7QXZIEJZXZJ,2,6
AS1O50NFU0MIR,6,18
A3C3CUMLWEEELB,1755,7061
A1IB6UHJ8UYY9C,2,6
A1DZOH0PEBV4L6,808,2449
A3SGZO3N7MXKPV,1756,7174
AR56BNG2FYGSV,1,3
A29UYZYDJL2WA3,2,6
A1Y1U0QSS9Q6W,4,12
A28CSL4TCEQH0K,19,58
A39YF4VJNF5LNI,5,15
A2Y2CWQCT8XZKU,6,18
A362IZKSMV6MA8,18,56
A304F84X1G0CIY,97,297
AWOS8V27EW0YB,1,3
A38VGM7OSKUVMD,1,3
A2NJHD60WRTOW7,1,3
A1IJUUNPU7L6LA,15,49
A17MVXR7VUD1DL,2,6
A2KZ0VI3C143T7,2,6
A2CTOXAMRF8JWE,6,18
A3Q7KYCSBHM93M,1,3
A1ZMEZB7995IPD,3,10
AYGC8JJ2UT2IE,1755,7068
